"ID","Nombre VM","Estado","Estatus","CPU CORES","vCPUs","CPU Asignado Mhz","CPU Uso Mhz","MEM Asignada(GB)","MEM Uso (GB)","Disco Asignado (GB)","Disco Uso (GB)","Disco Read Latency","Disco Write Latency","Disco Read IOPS","Disco Write IOPS","Sistema Op.","IP address","Host","Path"
"6cff76bb-c43c-5633-b4d1-8c213e3a0345","LCECAUDI01","POWERED_ON","OK","2","2","0","63","16","1.279296875","856","835.9533086009324","0","0","0","0","Microsoft Windows Server 2012 (64-bit)","10.10.35.25","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECAUDI01/LCECAUDI01.vmx"
"98763c31-004e-5a25-8b31-d26dcbd75ea7","MEDSER04","POWERED_ON","OK","4","8","0","945","33","0.9892578125","740","695.0257369345054","0","0","0","205197","Microsoft Windows Server 2008 R2 (64-bit)","10.10.29.40","esxi-surco-03.comercio.local","[DS-VIC-LC-002] MEDSER04/MEDSER04.vmx"
"3eaabdbb-38f0-585b-b845-5f15b59db9dc","LCECAUDI02-BCK","POWERED_ON","OK","2","4","0","63","8","0.5595703125","926","919.9563235575333","0","0","0","1368","Microsoft Windows Server 2012 (64-bit)","10.10.35.97","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECAUDI02-BCK/LCECAUDI02-BCK.vmx"
"4ca26bbf-6d05-51e6-9b16-e8b9aa80c9e4","LCECTESRV01","POWERED_ON","OK","6","6","0","315","32","1.279296875","400","404.89597193617374","0","0","0","1073","Microsoft Windows Server 2012 (64-bit)","192.168.56.1","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECTESRV01/LCECTESRV01.vmx"
"4b991b63-db8c-516b-a997-8de13ffcd2ec","PAECSRECPROD","POWERED_ON","OK","8","8","0","84","16","0.9599609375","400","408.6903533572331","0","0","0","0","Microsoft Windows Server 2012 (64-bit)","10.10.3.109","esxi-surco-03.comercio.local","[DS-SYNC-003] PAECSRECPROD/PAECSRECPROD.vmx"
"43c2db0a-788f-504e-b8ea-caa049773e7b","LCECADCS","POWERED_ON","OK","2","2","0","42","8","0.2392578125","120","97.25095923710614","0","0","0","460","Microsoft Windows Server 2016 (64-bit)","10.10.35.198","esxi-surco-03.comercio.local","[DS-VIC-LC-002] LCECADCS/LCECADCS.vmx"
"cef44693-cea2-5381-9bfe-e253f4fba165","LCECFSWS1","POWERED_ON","OK","32","32","0","105","32","0.6396484375","2298","2119.245261481963","0","0","0","438","Red Hat Enterprise Linux 7 (64-bit)","10.10.29.23","esxi-surco-03.comercio.local","[DS-SYNC-004] LCECFSWS1/LCECFSWS1.vmx"
"7201d2a5-596f-5aa0-b58d-bbc77824fd84","GESACFS01","POWERED_ON","OK","2","4","0","42","4","0.6396484375","3620","3248.967798102647","0","0","0","15","Microsoft Windows Server 2012 (64-bit)","10.10.30.135","esxi-surco-03.comercio.local","[DS-VIC-LC-003] GESACFS01/GESACFS01.vmx"
"37736ff8-423f-5c70-bc43-48b60d425f4a","LCECCUCMPUB01","POWERED_ON","OK","2","2","0","189","6","0.4794921875","150","39.87652168236673","28","0","1","1624","Other Linux (32-bit)","172.16.5.1","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECCUCMPUB01/LCECCUCMPUB01.vmx"
"87d8c376-409b-53ac-a93b-6af132f53ed8","LCECISABEL5","POWERED_ON","OK","2","2","0","63","12","0.119140625","600","20.373425654135644","0","0","0","179","Red Hat Enterprise Linux 7 (64-bit)","10.10.3.80","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECISABEL5/LCECISABEL5.vmx"
